Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,26146,3.19,2052,0:33:01,1129.5039
YT_RELATED.OhiaZip8kEs,Content,autumn feels like poetry (calm piano for studying/relaxing) 🍁📚,82,6.1,41,0:46:54,32.0562
YT_RELATED.CjzoYPRO2Ys,Content,When the first snow falls | Piano Playlist,313,7.99,29,0:15:09,7.3271
YT_RELATED.A4SkhlJ2mK8,Content,a playlist for a quiet morning 🍁 autumn version.,56,7.14,25,0:47:08,19.6413
YT_RELATED.UXYPerMfMTI,Content,a warm piano playlist for early winter days ❄️,65,15.38,17,0:27:51,7.8937
YT_RELATED.4BNE0-MwpHs,Content,"Relaxing Music Relieves Stress, Calm Anxiety and Depression 🌿 Bamboo Water Fountain, Calm the Mind",7,0,15,0:45:58,11.4951
YT_RELATED.CTK9OBuhv-E,Content,a playlist for a quiet morning ❄️ (winter version),123,10.57,15,0:23:18,5.8272
YT_RELATED.DeefjPfFtc4,Content,"❄️ soft winter piano playlist (for studying, reading, or simply being)",25,4,13,0:37:21,8.0943
YT_RELATED.KrsZ2g8JWEI,Content,"Beautiful Relaxing Music 🍁 Gentle Autumn Melodies for Stress Relief, Deep Healing & Clear Mind",30,3.33,13,0:48:25,10.4928
YT_RELATED.ir6Td_YueEU,Content,dreamy winter ❄️ a peaceful piano playlist,90,4.44,13,0:54:15,11.7547
YT_RELATED.VwsWsdRfSI4,Content,a piano playlist for quiet day 🍁 (autumn edition),47,4.26,11,0:42:10,7.7322
YT_RELATED.cDQ-krl38yE,Content,"Beautiful Calming Music for Stress, Worry and Overthinking 🌿 Relaxing Music for Emotional Balance",11,18.18,11,0:51:26,9.4311
YT_RELATED.ih4QukhAuAw,Content,"Peaceful Relaxing Music, Calming winter melodies for peaceful moments ❄️The Wildlife of Winter",25,20,11,0:37:43,6.9159
YT_RELATED.8VjH3L6Um1A,Content,"quiet december playlist ❄️ calm music for reading, studying & relaxing",48,12.5,10,0:31:54,5.3171
YT_RELATED.SkrxqJiIONs,Content,a quiet playlist for romanticizing winter (a country cottage living),102,4.9,10,0:22:35,3.7658
YT_RELATED.XTt5eeEa43s,Content,"Restore Your Nervous System 🌿 Stress Relief, Stop Overthinking, Deep Sleep, Calming Music",14,0,10,0:54:51,9.1439
YT_RELATED.2anIPh3-3oA,Content,a calm playlist for reading by the christmas tree 🎄✨,86,3.49,8,0:23:12,3.0952
YT_RELATED.TH0OGsKHDCI,Content,Winter Night Relaxation 🌌 | Gentle Christmas Piano for Deep Sleep 20.11,6,0,8,0:57:32,7.6726
YT_RELATED.XXIRWAEVs8o,Content,"Healing Music for Inner Peace 🌿 Calm Nature Sounds for Stress Release & Deep Sleep, Relaxing Music",6,0,8,0:50:41,6.7589
YT_RELATED.CXw0FU57Qvg,Content,a comfort playlist for quiet people,65,6.15,7,0:26:43,3.1173
YT_RELATED.E1y_uF1SeYw,Content,a quiet playlist for quiet people (winter version) 🤍,101,4.95,7,0:21:28,2.5048
YT_RELATED.FGKjA3elct4,Content,finding comfort in winter 🕯️ (soft piano for quiet days),36,5.56,7,0:35:08,4.0994
YT_RELATED.J1F1FTRuTQA,Content,"this winter playlist will find you in the right time 🎄 (a playlist for reading, writing, studying)",74,4.05,7,0:36:44,4.2857
YT_RELATED.hIao9X2f3I4,Content,"quiet winter playlist ❄️ soft piano for reading, studying & relaxing",83,8.43,7,0:25:25,2.966
YT_RELATED.hwn0ZUmqLJM,Content,peaceful piano playlist to feel safe & relaxed 🍂 (autumn edition),16,6.25,7,0:52:02,6.0725
YT_RELATED.kBXFUoqwrRE,Content,"these winter days (a calm playlist for reading a good book, writing, studying)",61,4.92,7,0:37:18,4.3519
YT_RELATED.shIoSfBVi3c,Content,the first scent of winter ❄️ (a peaceful piano playlist),23,4.35,7,0:28:35,3.3358
YT_RELATED.1R3AEVA6QnE,Content,Relaxing Music with Beautiful Winter Sceneries❄️Nature Sounds for Overthinking Relief & Inner Calm,12,25,6,0:22:23,2.239
YT_RELATED.843keAlx3T4,Content,"Restore Your Nervous System 🌿 Beautiful Relaxing Music, Stress Relief, Stop Overthinking",3,0,6,0:46:35,4.6584
